,Sum,Avg,Min,Max,Count,Unnamed: 0
0,58.0,54.0,54.0,54.0,58.0,
1,2.2887507745286007,0.08438711864133817,-0.19217748298193768,0.6001998896599048,20.03448275862069,
2,3.355916333294537,0.1752013755456999,0.1324113040352384,0.5193610928969606,26.592417806876586,
3,-1.0,-0.25,-0.25,-0.25,0.0,
4,0.012234727089681041,0.0386742125996168,-0.25,0.253400129789107,3.25,
5,0.9649840839066077,0.11063106698695976,-0.25,0.5356710002221431,6.0,
6,3.5332914982990196,0.19102129369070678,-0.25,0.9838946267771511,26.5,
7,12.884973714907568,0.5051944443990473,0.25,1.575510663881511,97.0,
8,,,,,,1 MIN DELAY
9,58.0,54.0,54.0,54.0,58.0,
10,2.0458637106771365,0.07360620493944334,-0.19237782126635725,0.5635686554102664,19.879310344827587,
11,3.0215892435751566,0.17238224922174503,0.1288291821639829,0.4853715113616446,26.636656964658187,
12,-1.0,-0.25,-0.25,-0.25,0.0,
13,0.012234727089681041,0.024706360676187172,-0.25,0.250926812626435,3.0,
14,0.812321127225286,0.10158888964517443,-0.25,0.5290290092042331,6.0,
15,3.3526240157814646,0.17623450560353104,-0.25,0.9573332049718439,26.5,
16,12.525767391444784,0.5051944443990473,0.25,1.4470268252405314,97.0,
17,,,,,,2 MIN DELAY
18,58.0,53.0,53.0,53.0,58.0,
19,1.99067288515737,0.07511638152006234,-0.19477091658744944,0.5770504144635665,19.551724137931036,
20,3.004597497539803,0.17338501191543845,0.12517324943151842,0.5028698052019932,26.12733489191242,
21,-1.25,-0.25,-0.25,-0.25,0.0,
22,0.0,0.006991272622674881,-0.25,0.2518807303210294,3.25,
23,0.7609979859549725,0.10154618657917776,-0.25,0.5489389083587242,5.5,
24,3.753160925186646,0.15822533901690813,-0.25,0.9453365571562435,24.5,
25,11.505847555796972,0.5051944443990473,0.25,1.5,96.0,
26,,,,,,3 MIN DELAY
27,58.0,54.0,54.0,54.0,58.0,
28,1.9437525647678995,0.07165567337450875,-0.19972910654288145,0.5754495854343933,19.53448275862069,
29,2.9284166979278745,0.18129072442274835,0.12248713831804686,0.4953172925095941,26.095785448014787,
30,-1.0,-0.25,-0.25,-0.25,0.0,
31,0.0,0.0255458582463624,-0.25,0.2563300084159486,3.0,
32,0.7832374311521018,0.09129938569895982,-0.25,0.7101800879001239,5.5,
33,3.23032441720272,0.18325614121567652,-0.25,0.9270386747395651,27.0,
34,12.591879490699673,0.5051944443990473,0.25,1.4470268252405314,95.0,
35,,,,,,4 MIN DELAY
36,58.0,52.0,52.0,52.0,58.0,
37,1.9582244357436633,0.0812470827245104,-0.19787626972408773,0.5930576277941858,19.362068965517242,
38,3.0680458463529794,0.17270999440033225,0.12439167303316616,0.46285919064838543,25.805411016869044,
39,-1.0,-0.25,-0.25,-0.25,0.0,
40,0.0,0.015707023927094044,-0.25,0.2551403727014815,3.0,
41,0.9176349473063725,0.08560497999884673,-0.25,0.7011043057491494,5.5,
42,3.0274030433317662,0.1777118191883187,-0.25,0.9660190851885888,25.75,
43,13.634023054854193,0.5051944443990473,0.25,1.3612090932149745,96.0,
44,,,,,,5 MIN DELAY
45,58.0,53.0,53.0,53.0,58.0,
46,1.9530632814830649,0.07835350872582815,-0.1894764646501263,0.5659743587925127,19.448275862068964,
47,2.9533501430096862,0.17008309811480252,0.13766677950580788,0.4421850912588811,26.160887112616347,
48,-1.0,-0.25,-0.25,-0.25,0.0,
49,0.0,0.004701277957253015,-0.25,0.2558062304273854,3.0,
50,0.9039027801158521,0.10188392588448247,-0.25,0.5489389083587242,5.5,
51,2.6840555719923627,0.15807331132339514,-0.25,0.923881981392719,24.75,
52,13.315515835858353,0.5051944443990473,0.25,1.306339419505012,101.0,
53,,,,,,6 MIN DELAY
54,58.0,53.0,53.0,53.0,58.0,
55,1.8944983430759412,0.07402727762646658,-0.19864472144734555,0.5446102776005896,19.310344827586206,
56,2.8669038435512424,0.17225061473450026,0.12357025501219673,0.4355894608257104,26.010933528747152,
57,-1.0,-0.25,-0.25,-0.25,0.0,
58,0.0022797775124355213,0.014479228885375688,-0.25,0.2578392162699409,3.0,
59,0.8954236409436848,0.09301036541231252,-0.25,0.550007050271867,5.5,
60,2.65234057886066,0.14794510050364898,-0.25,0.9044833692863816,23.0,
61,11.710640189264385,0.5051944443990473,0.25,1.1507533182504073,100.0,
62,,,,,,7 MIN DELAY
63,58.0,52.0,52.0,52.0,58.0,
64,1.8996289434021056,0.07929697883146371,-0.1976825567184932,0.5615214352362029,19.25862068965517,
65,2.874308589453665,0.17147395495260592,0.12454338746453679,0.4299651777829056,25.630683602350036,
66,-1.0,-0.25,-0.25,-0.25,0.0,
67,0.0,0.008235508046615074,-0.25,0.2612429125250185,3.0,
68,0.7960139984993394,0.08691924414316256,-0.25,0.6420808629139032,6.0,
69,2.7132309390577927,0.1953998810329185,-0.25,0.918779652854107,24.25,
70,11.862490618996665,0.5051944443990473,0.25,1.1507533182504073,89.0,
71,,,,,,8 MIN DELAY
72,58.0,54.0,54.0,54.0,58.0,
73,1.8190796569695848,0.06467733380574897,-0.1978214327146635,0.5222585168393264,19.25862068965517,
74,2.705300830691933,0.181734611174511,0.1248021612467445,0.4421455225610691,25.420367814382857,
75,-1.0,-0.25,-0.25,-0.25,0.0,
76,0.0,0.0028364863608034774,-0.25,0.2532448250334139,3.0,
77,0.7960266846926661,0.0852071504618106,-0.25,0.6044550976804387,6.0,
78,2.8047324117783985,0.18121867011244228,-0.25,0.9003811999629026,24.25,
79,10.493288947166679,0.5051944443990473,0.25,1.1183678559155286,91.0,
80,,,,,,9 MIN DELAY
81,58.0,52.0,52.0,52.0,58.0,
82,1.7941686179913794,0.07676202052694667,-0.19581456474215056,0.5454436108332067,19.120689655172413,
83,2.6293631925600245,0.17280998036911732,0.12678923952220106,0.4232886808812194,25.30243562661189,
84,-1.0,-0.25,-0.25,-0.25,0.0,
85,0.0,0.0062984023832181645,-0.25,0.2542653954974592,3.0,
86,0.7524693022535461,0.08264176858238785,-0.25,0.6331737185909374,6.0,
87,3.4514698098937693,0.16885588784144898,-0.25,0.8921768613159444,23.0,
88,9.480826506812662,0.5051944443990473,0.25,1.1183678559155286,89.0,
89,,,,,,10 MIN DELAY
